unique_key,complaint_text,agency,agency_name,borough,created_date,status,open_data_channel_type
67597566,problem: door/window. details: door frame. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:07:07.000,Closed,PHONE
67599995,problem: paint/plaster. details: wall. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:07:07.000,Closed,PHONE
67600905,problem: door/window. details: door. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:07:07.000,Closed,PHONE
67601119,problem: heat/hot water. details: apartment only. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:07:07.000,Closed,PHONE
67601779,problem: unsanitary condition. details: pests. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:07:07.000,Closed,PHONE
67602587,problem: appliance. details: electric/gas range. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:07:07.000,Closed,PHONE
67602620,problem: general. details: cabinet. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:07:07.000,Closed,PHONE
67604517,problem: heat/hot water. details: entire building. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:07:01.000,Closed,ONLINE
67604786,problem: heat/hot water. details: entire building. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:07:01.000,Closed,ONLINE
67592185,problem: illegal parking. details: blocked hydrant. location type: street/sidewalk. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T04:06:21.000,Closed,ONLINE
67593106,problem: heat/hot water. details: entire building. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:06:02.000,Closed,ONLINE
67597851,problem: heat/hot water. details: entire building. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:06:02.000,Closed,ONLINE
67597730,problem: heat/hot water. details: apartment only. location type: residential building. borough: manhattan,HPD,Department of Housing Preservation and Development,manhattan,2026-01-24T04:06:00.000,Closed,ONLINE
67603786,problem: illegal parking. details: blocked hydrant. location type: street/sidewalk. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T04:06:00.000,Closed,MOBILE
67594130,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-24T04:05:58.000,Closed,PHONE
67595936,problem: heat/hot water. details: apartment only. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T04:05:58.000,Closed,PHONE
67596168,problem: heat/hot water. details: entire building. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:05:52.000,Closed,ONLINE
67598115,problem: heat/hot water. details: entire building. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:05:52.000,Closed,ONLINE
